"°Å·¡ÀÏÀÚ","Ç°¸ñ¸í","¹ÝÀÔ·®(KG)","Ç°¸ñÄÚµå","Àü¿ù¹ÝÀÔ·®(KG)","Àü¿ù¹ÝÀÔ·®Áõ°¨·ü(%)","Àü³â¹ÝÀÔ·®(KG)","Àü³â¹ÝÀÔ·®Áõ°¨·ü(%)","Æò³â¹ÝÀÔ·®(KG)","Æò³â¹ÝÀÔ·®Áõ°¨·ü(%)"
"20240329","¸¶´Ã","21000","120900","14000","-33.3","39000","85.7","30500","45.2"
"20240328","¸¶´Ã","19000","120900","13000","-31.6","21000","10.5","27000","42.1"
"20240327","¸¶´Ã","13000","120900","12000","-7.7","29000","123.1","27500","111.5"
"20240326","¸¶´Ã","16000","120900","20000","25.0","null","0.0","25250","57.8"
"20240325","¸¶´Ã","25000","120900","null","0.0","19000","-24.0","35000","40.0"
"20240323","¸¶´Ã","32000","120900","10000","-68.8","18000","-43.8","24800","-22.5"
"20240322","¸¶´Ã","30000","120900","12000","-60.0","17000","-43.3","25250","-15.8"
"20240321","¸¶´Ã","29000","120900","7000","-75.9","19000","-34.5","24500","-15.5"
"20240320","¸¶´Ã","12000","120900","11000","-8.3","23000","91.7","25000","108.3"
"20240319","¸¶´Ã","21000","120900","20000","-4.8","null","0.0","24250","15.5"
"20240318","¸¶´Ã","13000","120900","null","0.0","12000","-7.7","20800","60.0"
"20240316","¸¶´Ã","15000","120900","8000","-46.7","20000","33.3","22400","49.3"
"20240315","¸¶´Ã","13000","120900","10000","-23.1","20000","53.8","21250","63.5"
"20240314","¸¶´Ã","13000","120900","11000","-15.4","11000","-15.4","20750","59.6"
"20240313","¸¶´Ã","18000","120900","17000","-5.6","24000","33.3","31500","75.0"
"20240312","¸¶´Ã","11000","120900","null","0.0","null","0.0","22500","104.5"
"20240311","¸¶´Ã","13000","120900","null","0.0","13000","0.0","20500","57.7"
"20240309","¸¶´Ã","12000","120900","4000","-66.7","11000","-8.3","20000","66.7"
"20240308","¸¶´Ã","14000","120900","18000","28.6","19000","35.7","19750","41.1"
"20240307","¸¶´Ã","12000","120900","11000","-8.3","21000","75.0","20250","68.8"
"20240306","¸¶´Ã","14000","120900","14000","0.0","20000","42.9","19500","39.3"
"20240305","¸¶´Ã","15000","120900","29000","93.3","null","0.0","32250","115.0"
"20240304","¸¶´Ã","23000","120900","null","0.0","15000","-34.8","21600","-6.1"
"20240301","¸¶´Ã","11000","120900","14000","27.3","15000","36.4","14500","31.8"
"20240229","¸¶´Ã","14000","120900","26000","85.7","12000","-14.3","17750","26.8"
"20240228","¸¶´Ã","13000","120900","null","0.0","12000","-7.7","18750","44.2"
"20240227","¸¶´Ã","12000","120900","14000","16.7","31000","158.3","22500","87.5"
"20240226","¸¶´Ã","20000","120900","10000","-50.0","null","0.0","21750","8.8"
"20240224","¸¶´Ã","10000","120900","8000","-20.0","11000","10.0","17000","70.0"
"20240223","¸¶´Ã","10000","120900","9000","-10.0","13000","30.0","14250","42.5"
"20240222","¸¶´Ã","12000","120900","28000","133.3","11000","-8.3","20800","73.3"
"20240221","¸¶´Ã","7000","120900","null","0.0","15000","114.3","17000","142.9"
"20240220","¸¶´Ã","11000","120900","11000","0.0","21000","90.9","17750","61.4"
"20240219","¸¶´Ã","20000","120900","8000","-60.0","null","0.0","16000","-20.0"
"20240217","¸¶´Ã","5000","120900","8000","60.0","19000","280.0","23250","365.0"
"20240216","¸¶´Ã","8000","120900","9000","12.5","14000","75.0","13750","71.9"
"20240215","¸¶´Ã","10000","120900","15000","50.0","12000","20.0","15000","50.0"
"20240214","¸¶´Ã","11000","120900","null","0.0","11000","0.0","18000","63.6"
"20240213","¸¶´Ã","17000","120900","11000","-35.3","27000","58.8","21667","27.5"
"20240209","¸¶´Ã","4000","120900","11000","175.0","8000","100.0","13500","237.5"
"20240208","¸¶´Ã","18000","120900","16000","-11.1","11000","-38.9","20800","15.6"
"20240207","¸¶´Ã","11000","120900","null","0.0","18000","63.6","17667","60.6"
"20240206","¸¶´Ã","14000","120900","17000","21.4","21000","50.0","18000","28.6"
"20240205","¸¶´Ã","29000","120900","9000","-69.0","null","0.0","14667","-49.4"
"20240203","¸¶´Ã","10000","120900","21000","110.0","13000","30.0","16333","63.3"
"20240202","¸¶´Ã","11000","120900","null","0.0","10000","-9.1","20333","84.8"
"20240201","¸¶´Ã","14000","120900","null","0.0","18000","28.6","22500","60.7"
"20240131","¸¶´Ã","9000","120900","null","0.0","10000","11.1","16667","85.2"
"20240130","¸¶´Ã","13000","120900","15000","15.4","36000","176.9","24500","88.5"
"20240129","¸¶´Ã","26000","120900","14000","-46.2","null","0.0","19250","-26.0"
"20240127","¸¶´Ã","14000","120900","10000","-28.6","54000","285.7","29333","109.5"
"20240126","¸¶´Ã","10000","120900","18000","80.0","7000","-30.0","16500","65.0"
"20240125","¸¶´Ã","7000","120900","17000","142.9","15000","114.3","18000","157.1"
"20240124","¸¶´Ã","8000","120900","null","0.0","null","0.0","16333","104.2"
"20240123","¸¶´Ã","9000","120900","9000","0.0","null","0.0","22667","151.9"
"20240122","¸¶´Ã","28000","120900","9000","-67.9","null","0.0","28000","0.0"
"20240120","¸¶´Ã","11000","120900","21000","90.9","26000","136.4","21500","95.5"
"20240119","¸¶´Ã","8000","120900","9000","12.5","35000","337.5","20250","153.1"
"20240118","¸¶´Ã","13000","120900","20000","53.8","21000","61.5","20800","60.0"
"20240117","¸¶´Ã","8000","120900","null","0.0","22000","175.0","20000","150.0"
"20240116","¸¶´Ã","9000","120900","13000","44.4","19000","111.1","19500","116.7"
"20240115","¸¶´Ã","15000","120900","17000","13.3","null","0.0","24750","65.0"
"20240113","¸¶´Ã","11000","120900","13000","18.2","22000","100.0","19750","79.5"
"20240112","¸¶´Ã","7000","120900","6000","-14.3","44000","528.6","24000","242.9"
"20240111","¸¶´Ã","10000","120900","20000","100.0","19000","90.0","18750","87.5"
"20240110","¸¶´Ã","8000","120900","null","0.0","33000","312.5","21500","168.8"
"20240109","¸¶´Ã","11000","120900","8000","-27.3","12000","9.1","16250","47.7"
"20240108","¸¶´Ã","16000","120900","18000","12.5","null","0.0","13500","-15.6"
"20240106","¸¶´Ã","17000","120900","21000","23.5","20000","17.6","18250","7.4"
"20240105","¸¶´Ã","9000","120900","18000","100.0","17000","88.9","17750","97.2"
"20240104","¸¶´Ã","10000","120900","20000","100.0","31000","210.0","21400","114.0"
"20240103","¸¶´Ã","21000","120900","null","0.0","33000","57.1","31750","51.2"
"20231230","¸¶´Ã","15000","120900","15000","0.0","18000","20.0","20000","33.3"
"20231229","¸¶´Ã","14000","120900","25000","78.6","37000","164.3","26750","91.1"
"20231228","¸¶´Ã","13000","120900","27000","107.7","36000","176.9","20800","60.0"
"20231227","¸¶´Ã","10000","120900","13000","30.0","18000","80.0","23750","137.5"
"20231226","¸¶´Ã","18000","120900","null","0.0","15000","-16.7","18750","4.2"
"20231225","¸¶´Ã","17000","120900","24000","41.2","null","0.0","18750","10.3"
"20231223","¸¶´Ã","9000","120900","50000","455.6","13000","44.4","15250","69.4"
"20231222","¸¶´Ã","9000","120900","31000","244.4","21000","133.3","18750","108.3"
"20231221","¸¶´Ã","10000","120900","26000","160.0","17000","70.0","15000","50.0"
"20231220","¸¶´Ã","21000","120900","27000","28.6","15000","-28.6","19500","-7.1"
"20231219","¸¶´Ã","9000","120900","null","0.0","9000","0.0","11750","30.6"
"20231218","¸¶´Ã","20000","120900","12000","-40.0","null","0.0","16000","-20.0"
"20231216","¸¶´Ã","13000","120900","35000","169.2","13000","0.0","11750","-9.6"
"20231215","¸¶´Ã","17000","120900","42000","147.1","15000","-11.8","12250","-27.9"
"20231214","¸¶´Ã","16000","120900","42000","162.5","25000","56.3","15400","-3.8"
"20231213","¸¶´Ã","13000","120900","26000","100.0","13000","0.0","15750","21.2"
"20231212","¸¶´Ã","6000","120900","null","0.0","21000","250.0","19400","223.3"
"20231211","¸¶´Ã","20000","120900","18000","-10.0","null","0.0","15250","-23.8"
"20231209","¸¶´Ã","8000","120900","28000","250.0","22000","175.0","22667","183.3"
"20231208","¸¶´Ã","18000","120900","29000","61.1","42000","133.3","24600","36.7"
"20231207","¸¶´Ã","22000","120900","32000","45.5","27000","22.7","21400","-2.7"
"20231206","¸¶´Ã","21000","120900","19000","-9.5","15000","-28.6","16500","-21.4"
"20231205","¸¶´Ã","18000","120900","null","0.0","17000","-5.6","18500","2.8"
"20231204","¸¶´Ã","20000","120900","null","0.0","null","0.0","15250","-23.8"
"20231201","¸¶´Ã","14000","120900","13000","-7.1","11000","-21.4","20000","42.9"
"20231130","¸¶´Ã","15000","120900","18000","20.0","20000","33.3","25600","70.7"
"20231129","¸¶´Ã","25000","120900","null","0.0","22000","-12.0","20750","-17.0"
"20231128","¸¶´Ã","27000","120900","11000","-59.3","14000","-48.1","26250","-2.8"
"20231127","¸¶´Ã","13000","120900","10000","-23.1","null","0.0","32250","148.1"
"20231125","¸¶´Ã","24000","120900","10000","-58.3","88000","266.7","42250","76.0"
"20231124","¸¶´Ã","33000","120900","11000","-66.7","15000","-54.5","19750","-40.2"
"20231123","¸¶´Ã","50000","120900","30000","-40.0","15000","-70.0","21000","-58.0"
"20231122","¸¶´Ã","31000","120900","null","0.0","16000","-48.4","28500","-8.1"
"20231121","¸¶´Ã","26000","120900","11000","-57.7","17000","-34.6","25750","-1.0"
"20231120","¸¶´Ã","27000","120900","10000","-63.0","null","0.0","24750","-8.3"
"20231118","¸¶´Ã","12000","120900","11000","-8.3","23000","91.7","26500","120.8"
"20231117","¸¶´Ã","40000","120900","13000","-67.5","34000","-15.0","30000","-25.0"
"20231116","¸¶´Ã","35000","120900","16000","-54.3","12000","-65.7","26600","-24.0"
"20231115","¸¶´Ã","42000","120900","null","0.0","33000","-21.4","31500","-25.0"
"20231114","¸¶´Ã","42000","120900","14000","-66.7","22000","-47.6","41500","-1.2"
